CeGaT ID,RNASeq ID,Group
S250Nr1,OvN11,normal
S250Nr2,OvN14,normal
S250Nr3,OvN37,normal
S250Nr10,OvN48,normal
S250Nr11,OvN49,normal
S250Nr12,OvN50,normal
S250Nr13,OvN51,normal
S250Nr14,OvN52,normal
S250Nr15,OvN54,normal
S250Nr17,OvCa53,tumour
S250Nr18,OvCa58,tumour
S250Nr19,OvCa64,tumour
S250Nr20,OvCa65,tumour
S250Nr21,OvCa70,tumour
S250Nr22,OvCa80,tumour
S250Nr23,OvCa84,tumour
S250Nr24,OvCa99,tumour
S250Nr25,OvCa104,tumour
S250Nr26,OvCa105,tumour
S250Nr27,OvCa107,tumour
S250Nr28,OvCa109,tumour
S250Nr29,OvCa111,tumour
S250Nr30,OvCa114,tumour
